No	TMNo	EnNo	Name	INOUT	Mode	DateTime
424	1	7		0	1	2020/01/28 06:53:57
425	1	10		0	1	2020/01/28 06:53:57
426	1	13		0	1	2020/01/28 06:57:07
427	1	4		0	1	2020/01/28 06:57:10
428	1	5		0	1	2020/01/28 06:57:24
429	1	6		0	1	2020/01/28 06:57:33
430	1	14		0	1	2020/01/28 06:57:38
431	1	3		0	1	2020/01/28 11:30:02
432	1	3		0	1	2020/01/28 11:30:04
433	1	2		0	1	2020/01/28 11:30:12
434	1	4		0	1	2020/01/28 11:30:20
435	1	9		0	1	2020/01/28 11:30:25
436	1	9		0	1	2020/01/28 11:30:28
437	1	11		0	1	2020/01/28 11:30:58
438	1	11		0	1	2020/01/28 11:30:58
439	1	12		0	1	2020/01/28 11:31:02
440	1	12		0	1	2020/01/28 11:31:05
441	1	5		0	1	2020/01/28 11:31:07
442	1	1		0	1	2020/01/28 11:31:11
443	1	7		0	1	2020/01/28 11:31:17
444	1	7		0	1	2020/01/28 11:31:17
445	1	10		0	1	2020/01/28 11:31:20
446	1	8		0	1	2020/01/28 11:31:23
447	1	8		0	1	2020/01/28 11:31:25
448	1	14		0	1	2020/01/28 11:31:29
449	1	6		0	1	2020/01/28 11:32:05
450	1	13		0	1	2020/01/28 11:32:21
451	1	12		0	1	2020/01/28 11:43:04
452	1	12		0	1	2020/01/28 11:43:06
453	1	9		0	1	2020/01/28 11:48:14
454	1	9		0	1	2020/01/28 11:48:17
455	1	1		0	1	2020/01/28 11:52:01
456	1	13		0	1	2020/01/28 11:56:40
457	1	3		0	1	2020/01/28 12:01:32
458	1	3		0	1	2020/01/28 12:01:35
459	1	2		0	1	2020/01/28 12:01:38
460	1	4		0	1	2020/01/28 12:01:51
461	1	8		0	1	2020/01/28 12:24:03
462	1	8		0	1	2020/01/28 12:24:05
463	1	7		0	1	2020/01/28 12:26:16
464	1	7		0	1	2020/01/28 12:26:20
465	1	5		0	1	2020/01/28 12:26:43
466	1	6		0	1	2020/01/28 12:26:56
467	1	10		0	1	2020/01/28 12:27:15
468	1	6		0	1	2020/01/28 12:27:19
469	1	11		0	1	2020/01/28 12:27:26
470	1	11		0	1	2020/01/28 12:27:26
471	1	11		0	1	2020/01/28 12:27:30
472	1	14		0	1	2020/01/28 12:28:38
473	1	13		0	1	2020/01/28 16:00:05
474	1	12		0	1	2020/01/28 16:00:41
475	1	12		0	1	2020/01/28 16:00:43
476	1	5		0	1	2020/01/28 16:01:52
477	1	5		0	1	2020/01/28 16:01:54
